"position.x","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_fum_rec","dst_fum_rec_sd","dst_sacks","dst_sacks_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","first_name","last_name","team","position.y","age","exp"
"TE","15800","weighted",NA,NA,NA,NA,NA,NA,NA,3.53553390593274,NA,0.0707106781186548,NA,0,NA,0.636396103067893,NA,7.07106781186547,NA,0.353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connor","Heyward","LVR","TE",27,-2
"TE","12677","average",NA,NA,NA,NA,NA,NA,0.5,0.353553390593274,0,0,0,0,20.72,4.13424721079908,219.2,38.6678160748703,1.38,0.567450438364444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austin","Hooper","ATL","TE",32,4
"TE","12677","robust",NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,0,22,1.4826,214,7.413,1.45,0.14826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austin","Hooper","ATL","TE",32,4
"TE","12677","weighted",NA,NA,NA,NA,NA,NA,0.513231197771588,0.339564913853206,0,0,0,0,20.6646239554318,4.07718791241969,218.118384401114,38.8256251619561,1.36183844011142,0.562442461634376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austin","Hooper","ATL","TE",32,4
"TE","15344","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0.75,0.25,15.8333333333333,3.61708906903512,157,39.8873413503583,1.03333333333333,0.950438495292217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John","Bates","WAS","TE",29,-1
"TE","15344","robust",NA,NA,NA,NA,NA,NA,0,0,0,0,0.75,0.37065,15.375,0.7413,151.75,5.9304,1.025,1.33434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John","Bates","WAS","TE",29,-1
"TE","15344","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0.751829268292683,0.25648994142125,15.9487804878049,3.68310722710131,158.309756097561,40.5865549430636,1.0419512195122,0.975227505388505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John","Bates","WAS","TE",29,-1
"TE","16474","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.5666666666667,3.09246395829173,88.6666666666667,16.8621864932557,1.9,1.01488915650922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate","Adkins","DEN","TE",27,-3
"TE","16474","robust",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.35,2.52042,86.75,5.9304,1.85,1.03782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate","Adkins","DEN","TE",27,-3
"TE","16474","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12.7107317073171,3.09858681841291,89.3487804878049,17.0325960696621,1.94975609756098,1.01294796907606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate","Adkins","DEN","TE",27,-3
"TE","16333","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0.8,0.163299316185545,22.925,1.35,216.5,23.9513395589196,0.75,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elijah","Higgins","ARI","TE",26,-3
