avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,16610,RB,54.425,13.04688,FALSE,3.57499999999999,38.88,65.37,-146.625,-141.08,-163.21,405,398,425,68,22,-119.275,216,Jaylen,Wright,MIA,RB,23,-4,228.56,68.78,5.9,239.44,ADP.tsv,195.615,31.6243,ADP.tsv,11.115,209.385,1.692,1.692,21160,239.44,138,314,235
robust,16166,RB,50.85,28.61418,FALSE,0.400000000000006,28.6,70.6,-150.2,-151.36,-157.98,412,421,414,69,22,-122.85,222,Sean,Tucker,TBB,RB,25,-3,204.11,64.18,7.36,234.39,ADP.tsv,178.87,37.9008,ADP.tsv,NA,233.13,1.452,1.452,20285,234.39,115,328,257
robust,17474,RB,50.45,4.15128,FALSE,0.425000000000004,27.06,58.72,-150.6,-152.9,-169.86,413,429,432,70,22,-123.25,224,Emmett,Johnson,KCC,RB,23,-6,174.73,57.52,8.22,162.76,ADP.tsv,153.052,20.5018,ADP.tsv,13.9861065347008,259.948,2.364,2.11770819519593,22939,162.76,97,215,321
robust,16608,RB,50.025,37.21326,FALSE,0.424999999999997,25.82,76.76,-151.025,-154.14,-151.82,416,431,404,71,22,-123.675,226,George,Holani,SEA,RB,27,-4,230.03,69.58,9.11,211.14,ADP.tsv,175.49,32.0135,ADP.tsv,NA,240.51,1.93866666666667,1.84262228600679,21709,211.14,117,300,301
robust,16387,RB,49.6,14.67774,FALSE,1.8,33.7,76.06,-151.45,-146.26,-152.52,417,410,407,72,22,-124.1,228,Chris,Brooks,GBP,RB,26,-3,243.13,73,10.03,255.66,ADP.tsv,NA,40.7300,ADP.tsv,NA,NA,1.92,1.92,20954,255.66,138,359,187
robust,17046,RB,47.8,9.5600,TRUE,0.699999999999996,47.8,47.8,-153.25,-132.16,-180.78,419,374,452,73,22,-125.9,230,Devin,Neal,FA,RB,23,-5,277.81,81.98,10.29,283.88,ADP.tsv,NA,24.4506,ADP.tsv,NA,NA,NA,NA,22104,283.88,264,360,16
robust,14805,RB,47.1,64.78962,FALSE,0.100000000000009,7.77,86.43,-153.95,-172.19,-142.15,421,506,386,74,22,-126.6,231,AJ,Dillon,CAR,RB,28,0,424.67,117.08,24.62,280.88,ADP.tsv,NA,0.0000,ADP.tsv,NA,NA,NA,NA,17996,280.88,239,239,1
robust,17049,RB,47,7.63539,FALSE,2.71292547393375,39.975,54.445,-154.05,-139.985,-174.135,422,392,443,75,23,-126.7,232,Brashard,Smith,KCC,RB,23,-5,287.58,84.49,6.64,286.12,ADP.tsv,NA,34.6890,ADP.tsv,NA,NA,0,NA,22117,286.12,201,360,47
robust,15727,RB,44.2870745260662,19.5081244615639,FALSE,0.387074526066243,21.97,67.5649149052132,-156.762925473934,-157.99,-161.015085094787,427,446,423,76,23,-129.412925473934,241,Bam,Knight,ARI,RB,25,-2,325.53,95.46,11.01,281.57,ADP.tsv,NA,39.7916,ADP.tsv,NA,NA,0.792,0.792,19451,281.57,232,360,5
robust,16390,RB,43.9,8.7800,TRUE,1.95,43.9,43.9,-157.15,-136.06,-184.68,429,383,460,77,23,-129.8,243,Jaleel,McLaughlin,CLE,RB,26,-3,309.64,96.11,13.63,280.69,ADP.tsv,NA,0.0000,ADP.tsv,NA,NA,NA,NA,21005,280.69,177,177,1
