"player","pos","team","games","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_att","rush_yds","rush_tds","rec_rz_tgt","rec_09_tds","rec_1019_tds","rec_2029_tds","rec_3039_tds","rec_4049_tds","rec_50_tds","rush_50_yds","rush_100_yds","rec_150_yds","rec_200_yds","return_yds","scoring_opp","bye"
"Oronde Gadsden","TE","LAC",NA,42,30,322,NA,NA,3,NA,NA,NA,"4595342","ESPN","17099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Gesicki","TE","CIN",NA,52,36,353,NA,NA,4,NA,NA,NA,"3116164","ESPN","13672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Mayer","TE","LV",NA,54,37,364,NA,NA,1,NA,NA,NA,"4429086","ESPN","16212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Tonges","TE","SF",NA,12,8,83,NA,NA,1,NA,NA,NA,"4259147","ESPN","16036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colby Parkinson","TE","LAR",NA,39,28,291,NA,NA,3,NA,NA,NA,"4242557","ESPN","14871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick All Jr.","TE","CIN",NA,40,30,275,NA,NA,2,NA,NA,NA,"4427834","ESPN","16645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darnell Washington","TE","PIT",NA,45,31,305,NA,NA,2,NA,NA,NA,"4430802","ESPN","16216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawson Knox","TE","BUF",NA,36,25,265,NA,NA,3,NA,NA,NA,"3930086","ESPN","14143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elijah Arroyo","TE","SEA",NA,35,24,264,NA,NA,2,NA,NA,NA,"4678006","ESPN","17108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason Taylor","TE","NYJ",NA,45,33,285,NA,NA,1,NA,NA,NA,"4808766","ESPN","17106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Theo Johnson","TE","NYG",NA,38,25,269,NA,NA,2,NA,NA,NA,"4429148","ESPN","16649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cole Kmet","TE","CHI",NA,31,22,220,NA,NA,2,NA,NA,NA,"4258595","ESPN","14867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ja'Tavion Sanders","TE","CAR",NA,26,19,164,NA,NA,1,NA,NA,NA,"4431588","ESPN","16643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Gray","TE","KCC",NA,38,26,262,NA,NA,1,NA,NA,NA,"4240472","ESPN","15337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Stowers","TE","PHI",NA,15,11,107,NA,NA,1,NA,NA,NA,"4431574","ESPN","17544",5,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Higbee","TE","LAR",NA,22,15,154,NA,NA,1,NA,NA,NA,"2573401","ESPN","12678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Max Klare","TE","LAR",NA,6,4,38,NA,NA,0,NA,NA,NA,"4833029","ESPN","17547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Sample","TE","CIN",NA,29,22,183,NA,NA,1,NA,NA,NA,"3127310","ESPN","14146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Raridon","TE","NE",NA,26,19,189,NA,NA,1,NA,NA,NA,"4831959","ESPN","17607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tommy Tremble","TE","CAR",NA,26,18,176,NA,NA,1,NA,NA,NA,"4372780","ESPN","15332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hooper","TE","ATL",NA,27,21,181,NA,NA,1,NA,NA,NA,"3043275","ESPN","12677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elijah Higgins","TE","ARI",NA,29,21,182,NA,NA,1,NA,NA,NA,"4426844","ESPN","16333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonnu Smith","TE","GB",NA,24,17,157,NA,NA,1,NA,NA,NA,"3054212","ESPN","13193",2,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Kacmarek","TE","MIA",NA,25,18,175,NA,NA,1,NA,NA,NA,"4880236","ESPN","17605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Fant","TE","NO",NA,24,19,160,NA,NA,1,NA,NA,NA,"4036131","ESPN","14137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Oliver","TE","MIN",NA,22,17,151,NA,NA,1,NA,NA,NA,"3921690","ESPN","14209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Trautman","TE","DEN",NA,23,16,151,NA,NA,1,NA,NA,NA,"3911853","ESPN","14870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Kolar","TE","LAC",NA,21,15,149,NA,NA,1,NA,NA,NA,"4241263","ESPN","15795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Stover","TE","HOU",NA,22,16,133,NA,NA,1,NA,NA,NA,"4426496","ESPN","16642",4,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trey McBride","TE","ARI",NA,NA,108.9,1068.9,NA,NA,6.8,0.2,201.5,NA,"22936","FantasyPros","15794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Bowers","TE","LV",NA,NA,96.6,1023,NA,NA,7.5,0.2,195.4,NA,"22955","FantasyPros","16641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colston Loveland","TE","CHI",NA,NA,79.3,928.3,NA,NA,6.7,0.2,172.1,NA,"26006","FantasyPros","17104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Warren","TE","IND",NA,NA,78.9,877.8,NA,NA,5.5,0.3,159.7,NA,"26434","FantasyPros","17102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harold Fannin Jr.","TE","CLE",NA,NA,82.6,834.3,NA,NA,5.7,0.8,157.5,NA,"27050","FantasyPros","17103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kittle","TE","SF",NA,NA,70.2,796.2,NA,NA,6.2,0.2,151.7,NA,"16499","FantasyPros","13299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam LaPorta","TE","DET",NA,NA,70.5,814,NA,NA,5.5,0.2,149,NA,"22978","FantasyPros","16214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Pitts Sr.","TE","ATL",NA,NA,76.8,844.9,NA,NA,4.4,0.1,149,NA,"20164","FantasyPros","15329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas Goedert","TE","PHI",NA,NA,65.5,690.1,NA,NA,7.6,0.2,146.8,NA,"17270","FantasyPros","13674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE","KC",NA,NA,74.9,784.8,NA,NA,4.8,0.3,144.4,NA,"11594","FantasyPros","11244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowers, Brock","TE","LVR",NA,147.5,102,1078,NA,NA,7.3,0,153,NA,NA,"FantasySharks","16641",NA,6,0,22.1,3.4,1.4,1.3,0.5,0,0.5,13.1,2.2,0.7,0.3,0,17.1,NA
"McBride, Trey","TE","ARI",NA,140,101.6,1019,NA,NA,6.1,0,140.5,NA,NA,"FantasySharks","15794",NA,1,0.4,26.1,2,3.7,0.4,0,0,0,11,2.4,0.7,0.3,0,17.2,NA
"Kittle, George","TE","SFO",NA,81.8,62.4,768,NA,NA,6.5,0.6,114.5,NA,NA,"FantasySharks","13299",NA,-1.4,0,14.5,3.6,2.2,0.1,0.5,0,0,9.5,1.5,0.5,0.2,0,12.6,NA
"Goedert, Dallas","TE","PHI",NA,75.9,53.1,540,NA,NA,8.9,0,113.1,NA,NA,"FantasySharks","13674",NA,7,0.9,15.2,5.3,2.7,0.4,0.4,0,0,2.2,1.1,0.4,0.1,0,13.9,NA
"Loveland, Colston","TE","CHI",NA,103.8,65.1,818,NA,NA,4.8,0,112.9,NA,NA,"FantasySharks","17104",NA,-1.9,0,15.6,2.5,1,0,1.1,0,0.3,8.5,1.6,0.5,0.2,0,9,NA
"Pitts, Kyle","TE","ATL",NA,111.3,73.7,839,NA,NA,4.3,0,109.8,NA,NA,"FantasySharks","15329",NA,0,0,12.8,2.4,1,0,0.5,0.5,0,5.9,1.7,0.6,0.2,0,8.1,NA
"Kraft, Tucker","TE","GBP",NA,78.4,55.1,740,NA,NA,5.4,0,107.6,NA,NA,"FantasySharks","16222",NA,13,0,15,2.1,2.9,0.4,0,0,0,3,1.5,0.5,0.2,0,9.2,NA
"Parkinson, Colby","TE","LAR",NA,66.3,45.6,588,NA,NA,7.6,0,104.5,NA,NA,"FantasySharks","14871",NA,0,0,19.4,3.7,2.6,1.3,0,0,0,2.4,1.2,0.4,0.1,0,14.9,NA
"LaPorta, Sam","TE","DET",NA,80.3,59.2,672,NA,NA,6,0,103.3,NA,NA,"FantasySharks","16214",NA,0,0,15.9,3.5,0.6,1.1,0,0.4,0.5,2.7,1.3,0.4,0.2,0,11.2,NA
"Fannin, Harold","TE","CLE",NA,96.6,61.5,615,NA,NA,5.9,0.9,102.7,NA,NA,"FantasySharks","17103",NA,10,1.1,10,1.7,2.2,1.1,0.9,0,0,2.5,1.2,0.4,0.2,0,9.2,NA
"Andrews, Mark","TE","BAL",NA,76.7,51.9,540,NA,NA,7,0.4,102.5,NA,NA,"FantasySharks","13671",NA,35,0.6,16.4,3.9,2.4,0.7,0,0,0,2.2,1.1,0.4,0.1,0,13.6,NA
"Warren, Tyler","TE","IND",NA,113,72.3,747,NA,NA,3.8,0,102,NA,NA,"FantasySharks","17102",NA,6,0.7,21.7,1.5,2.3,0,0,0,0,2.9,1.5,0.5,0.2,0,16.8,NA
"Kincaid, Dalton","TE","BUF",NA,78,54.7,651,NA,NA,5.5,0,98.1,NA,NA,"FantasySharks","16213",NA,0,0,13,0.8,3.4,1.3,0,0,0,2.6,1.3,0.4,0.2,0,11.8,NA
"Likely, Isaiah","TE","NYG",NA,87.7,58.4,733,NA,NA,4.2,0.9,97,NA,NA,"FantasySharks","15798",NA,0,0,16,1.9,0.5,1.3,0,0.5,0,2.9,1.5,0.5,0.2,0,12,NA
"Kelce, Travis","TE","KCC",NA,107.8,73.5,720,NA,NA,3.8,0.4,95.4,NA,NA,"FantasySharks","11244",NA,1,0,14.9,1.8,1,0.6,0.4,0,0,4.6,1.4,0.5,0.2,0,9.6,NA
"Henry, Hunter","TE","NEP",NA,88.8,57.4,667,NA,NA,4.3,0,92.3,NA,NA,"FantasySharks","12676",NA,0,0,18.4,1.7,0.9,1.3,0.4,0,0,2.7,1.3,0.4,0.2,0,15.5,NA
"Johnson, Juwan","TE","NOS",NA,93.3,67.8,777,NA,NA,2.3,1.2,88.9,NA,NA,"FantasySharks","14861",NA,0,0,6.8,0.4,1.5,0,0.3,0,0,5.5,1.6,0.5,0.2,0,3.6,NA
"Barner, AJ","TE","SEA",NA,64.5,47.1,467,NA,NA,5.8,0,85.3,NA,NA,"FantasySharks","16723",NA,9,0.5,13,1.8,3.1,0.8,0,0,0,1.9,0.9,0.3,0.1,0,11.4,NA
"Tonges, Jake","TE","SFO",NA,67.5,45.1,435,NA,NA,7.4,1.6,84.6,NA,NA,"FantasySharks","16036",NA,0,0,11.7,5.5,0.4,1.5,0,0,0,1.7,0.9,0.3,0.1,0,11.1,NA
"Okonkwo, Chigoziem","TE","WAS",NA,87.8,58.9,603,NA,NA,3.9,0,84.4,NA,NA,"FantasySharks","15889",NA,0,0,7.7,2.5,0,0.3,0,1,0,2.4,1.2,0.4,0.2,0,6.1,NA
"Ferguson, Jake","TE","DAL",NA,104.1,75.6,605,NA,NA,4.3,2,83.8,NA,NA,"FantasySharks","15799",NA,1,0,17.9,3.4,0.5,0.3,0,0,0,2.4,1.2,0.4,0.1,0,12.9,NA
"Dulcich, Greg","TE","MIA",NA,71.4,52.1,588,NA,NA,4.7,1.5,83,NA,NA,"FantasySharks","15797",NA,-10.1,0,15.9,2.4,2.3,0,0,0,0,2.4,1.2,0.4,0.1,0,14.4,NA
"Hockenson, T.J.","TE","MIN",NA,92.6,65.5,633,NA,NA,3.3,0,82.8,NA,NA,"FantasySharks","14138",NA,0,0,13.4,2.7,0,0.6,0,0,0,2.5,1.3,0.4,0.2,0,7.8,NA
"Strange, Brenton","TE","JAC",NA,85.1,57.4,625,NA,NA,3.3,0.2,82.4,NA,NA,"FantasySharks","16269",NA,0,0,14.9,2.2,0.2,0.9,0,0,0,2.5,1.3,0.4,0.2,0,7.2,NA
"Gadsden, Oronde","TE","LAC",NA,80.2,53.9,655,NA,NA,2.4,0.9,78.4,NA,NA,"FantasySharks","17099",NA,0,0,15.4,2.2,0.2,0,0,0,0,2.6,1.3,0.4,0.2,0,8.5,NA
"Njoku, David","TE","LAC",NA,63.8,45.5,468,NA,NA,4.6,0,74.4,NA,NA,"FantasySharks","13192",NA,0,0,9.5,3.3,1.3,0,0,0,0,1.5,0.8,0.3,0.1,0,4.6,NA
"Otton, Cade","TE","TBB",NA,79.8,54.6,559,NA,NA,2.7,0,72.2,NA,NA,"FantasySharks","15802",NA,0,0,9.3,1.5,1.2,0,0,0,0,2.2,1.1,0.4,0.1,0,6.6,NA
"Schultz, Dalton","TE","HOU",NA,79.5,56,574,NA,NA,2.2,0,70.5,NA,NA,"FantasySharks","13772",NA,0,0,8.5,1.4,0.4,0.4,0,0,0,2.3,1.1,0.4,0.1,0,5.5,NA
"Freiermuth, Pat","TE","PIT",NA,61.1,42.5,467,NA,NA,3.4,0.5,67.5,NA,NA,"FantasySharks","15331",NA,3,0.1,9.6,1.1,1.3,0.9,0,0,0.2,1.9,0.9,0.3,0.1,0,8.8,NA
"Johnson, Theo","TE","NYG",NA,60.6,36.2,485,NA,NA,3.1,0,67,NA,NA,"FantasySharks","16649",NA,0,0,8.6,1.4,0.4,0,0.5,0.8,0,1.9,1,0.3,0.1,0,6.7,NA
"Helm, Gunnar","TE","TEN",NA,62.8,46.9,438,NA,NA,3.4,0,64.6,NA,NA,"FantasySharks","17105",NA,1,0,9.6,1.4,0.2,0,1,0.7,0,1.8,0.9,0.3,0.1,0,6.6,NA
"Gesicki, Mike","TE","CIN",NA,60.6,43.9,462,NA,NA,3,0.7,63.1,NA,NA,"FantasySharks","13672",NA,0,0,8.6,0.4,2.2,0.3,0,0.2,0,1.8,0.9,0.3,0.1,0,6.7,NA
"Engram, Evan","TE","DEN",NA,83.1,53.2,467,NA,NA,1.1,0,53.7,NA,NA,"FantasySharks","13189",NA,5,0,10.6,0,1.1,0,0,0,0,1.9,0.9,0.3,0.1,0,4.6,NA
"Kmet, Cole","TE","CHI",NA,47.2,30.6,325,NA,NA,3,0,53.1,NA,NA,"FantasySharks","14867",NA,1,0,7.5,0.5,1.7,0.8,0,0,0,1.3,0.7,0.2,0.1,0,5.8,NA
"Taylor, Mason","TE","NYJ",NA,68.6,47.2,403,NA,NA,1.6,0,51,NA,NA,"FantasySharks","17106",NA,0,0,7.5,1.4,0.2,0,0,0,0,1.6,0.8,0.3,0.1,0,3.7,NA
"Tremble, Tommy","TE","CAR",NA,42.1,33.3,323,NA,NA,3,0,50.5,NA,NA,"FantasySharks","15332",NA,0,0,7.3,2.4,0.7,0,0,0,0,1.3,0.6,0.2,0.1,0,4.4,NA
"Knox, Dawson","TE","BUF",NA,41,28.7,368,NA,NA,2.1,0,50.4,NA,NA,"FantasySharks","14143",NA,0,0,9,0.5,1.5,0,0,0,0,1.5,0.7,0.2,0.1,0,7.3,NA
"Higbee, Tyler","TE","LAR",NA,42.5,29.5,355,NA,NA,1.6,0,45.1,NA,NA,"FantasySharks","12678",NA,0,0,10.3,1.5,0,0.1,0,0,0,1.4,0.7,0.2,0.1,0,4.5,NA
"Kolar, Charlie","TE","LAC",NA,35,23.4,297,NA,NA,2.1,0.3,41.6,NA,NA,"FantasySharks","15795",NA,0,0,6.6,1.5,0.6,0,0,0,0,1.2,0.6,0.2,0.1,0,4.5,NA
"Gray, Noah","TE","KCC",NA,54,33.4,301,NA,NA,2,0,41.6,NA,NA,"FantasySharks","15337",NA,-2.2,0,5.3,1.6,0.2,0,0.2,0,0,1.2,0.6,0.2,0.1,0,3.2,NA
"Mayer, Michael","TE","LVR",NA,50.5,35.1,323,NA,NA,1,0,38.1,NA,NA,"FantasySharks","16212",NA,0,0,6,1,0,0,0,0,0,1.3,0.6,0.2,0.1,0,2.9,NA
"Oliver, Josh","TE","MIN",NA,27.7,19.3,219,NA,NA,2.5,0,36.7,NA,NA,"FantasySharks","14209",NA,0,0,4.4,0.6,1.2,0,0.7,0,0,0.9,0.4,0.1,0.1,0,3.6,NA
"Waller, Darren","TE","CAR",NA,29.3,20.8,197,NA,NA,2.5,0,34.9,NA,NA,"FantasySharks","12263",NA,3,0,4.2,2.4,0.1,0,0,0,0,0.8,0.4,0.1,0.1,0,2.9,NA
"Bellinger, Daniel","TE","TEN",NA,39.6,26.1,249,NA,NA,1.4,0,33.3,NA,NA,"FantasySharks","15873",NA,0,0,4.6,0.3,0,1.1,0,0,0,1,0.5,0.2,0.1,0,5.1,NA
"Washington, Darnell","TE","PIT",NA,35,26.1,255,NA,NA,0.7,0.5,30.7,NA,NA,"FantasySharks","16216",NA,5,0,5.7,0.7,0,0,0,0,0,1,0.5,0.2,0.1,0,4.3,NA
"Wright, Brock","TE","DET",NA,24.8,17.7,134,NA,NA,2.7,0,29.8,NA,NA,"FantasySharks","15626",NA,0,0,6.7,2.7,0,0,0,0,0,0.5,0.3,0.1,0,0,5.9,NA
"Fant, Noah","TE","NOS",NA,32.5,26.4,229,NA,NA,1,1.8,29.6,NA,NA,"FantasySharks","14137",NA,44,0,2.9,0,0.3,0.6,0,0,0,0.9,0.5,0.2,0.1,0,4.3,NA
"Allen, Davis","TE","LAR",NA,30.9,16.9,165,NA,NA,2.2,0,29.6,NA,NA,"FantasySharks","16219",NA,0,0,8.4,1.1,1.1,0,0,0,0,0.7,0.3,0.1,0,0,7.1,NA
"Nowakowski, Riley","TE","PIT",NA,34.9,25.9,215,NA,NA,0.7,0.9,29,NA,NA,"FantasySharks","17648",NA,11,0.7,4.5,0.3,0.4,0,0,0,0,0.9,0.4,0.1,0.1,0,4.2,NA
"Raridon, Eli","TE","NEP",NA,33.3,23.5,236,NA,NA,0.7,0,28,NA,NA,"FantasySharks","17607",NA,0,0,5.1,0.7,0,0,0,0,0,0.9,0.5,0.2,0.1,0,4.2,NA
"Trautman, Adam","TE","DEN",NA,27.9,22,208,NA,NA,1.1,0,27.4,NA,NA,"FantasySharks","14870",NA,0.1,0,1.6,0.6,0.5,0,0,0,0,0.8,0.4,0.1,0.1,0,1.6,NA
