avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,17220,K,136.826202972544,8.89833231371679,FALSE,2.36854403385405,125.9642,147.504514431586,-27.8227398424028,-20.2833,-29.3635480176121,143,116,145,20,4,NA,NA,Andres,Borregales,NEP,K,24,-5,227.85,12.26,3.5,258.79,ADP.tsv,176.393333333333,24.6985,ADP.tsv,10.7727103780288,-33.3933333333333,1.18933333333333,1.05689524341609,2973,258.79,167,304,228
robust,13303,K,134.45765893869,9.6857561792323,FALSE,1.00019227202296,111.4794,141.952184805091,-30.1912838762568,-34.7681,-34.9158776441073,145,148,161,21,4,NA,NA,Jake,Elliott,PHI,K,31,3,306.18,19.96,2.7,284.14,ADP.tsv,155.215,35.7989,ADP.tsv,26.915,-10.215,1.12933333333333,0.813134401901405,2978,284.14,160,334,74
robust,11936,K,133.457466666667,2.82328772444446,FALSE,1.51942500000001,127.424,139.476358095238,-31.1914761482798,-18.8235,-37.3917043539602,148,110,165,22,5,NA,NA,Chris,Boswell,PIT,K,35,6,245.11,13.88,3.79,258.91,ADP.tsv,161.742,30.4093,ADP.tsv,20.3173348645928,-13.742,1.161,0.55620409922977,2979,258.91,153,318,187
robust,8851,K,131.938041666667,17.74321318,FALSE,1.79176179245283,114.814106666667,148.89551,-32.7109011482798,-31.4333933333333,-27.9725524491982,150,140,140,23,5,NA,NA,Nick,Folk,ATL,K,42,13,296,24.14,2.74,280.61,ADP.tsv,183.505,25.2676,ADP.tsv,19.295,-33.505,0,NA,2957,280.61,210,336,91
robust,15369,K,130.146279874214,6.672290898812,FALSE,1.30813342615357,108.340111949686,135.804806894945,-34.5026629407326,-37.9073880503145,-41.063255554253,153,156,172,24,5,NA,NA,Riley,Patterson,MIA,K,27,-1,423.5,30.81,2.86,289.29,ADP.tsv,NA,16.6358,ADP.tsv,NA,NA,0,NA,2971,289.29,279,359,68
robust,16444,K,128.83814644806,17.1273870451643,FALSE,1.10713230525239,108.210258579224,141.478002659324,-35.8107963668862,-38.0372414207759,-35.3900597898738,156,157,162,25,5,NA,NA,Blake,Grupe,NYJ,K,28,-3,322,23.63,4.02,289.07,ADP.tsv,167.68,25.3696,ADP.tsv,14.7991418670138,-11.68,0.84,0.84,2975,289.07,237,359,68
robust,16292,K,127.731014142808,4.82265806685064,FALSE,1.23084320263692,114.224005657123,131.460188984707,-36.9179286721386,-32.0234943428768,-45.4078734644909,159,141,180,26,5,NA,NA,Chad,Ryland,ARI,K,27,-3,274.6,23.54,3.47,287.07,ADP.tsv,NA,29.5225,ADP.tsv,NA,NA,0,NA,2956,287.07,204,347,72
robust,17726,K,126.500170940171,9.57734256410257,FALSE,2.89778998778999,106.063373219373,138.688034188034,-38.1487718747755,-40.1841267806268,-38.1800282611641,163,161,167,27,6,NA,NA,Drew,Stevens,WAS,K,23,-6,359.75,26.92,4.71,287.49,ADP.tsv,NA,15.5111,ADP.tsv,NA,NA,0,NA,2986,287.49,283,358,71
robust,17277,K,123.602380952381,10.5089512,FALSE,0.849510875190347,89.1776,130.992514285714,-41.0465618625655,-57.0699,-45.875548163484,169,187,182,28,6,NA,NA,Ryan,Fitzgerald,CAR,K,NA,-5,289.4,25.33,2.04,289.11,ADP.tsv,NA,16.1899,ADP.tsv,NA,NA,0,NA,2960,289.11,281,359,69
robust,14600,K,122.752870077191,24.3459672235572,FALSE,3.71308598628153,108.392881847755,139.583514838109,-41.8960727377559,-37.8546181522446,-37.2845476110897,170,155,164,29,6,NA,NA,Joey,Slye,TEN,K,30,1,301.6,23.58,3.17,285.13,ADP.tsv,NA,21.7003,ADP.tsv,NA,NA,0,NA,2985,285.13,236,342,77
robust,14244,K,119.039784090909,7.69210603416929,FALSE,4.52217010914616,92.6474,128.676963375131,-45.6091587240374,-53.6001,-48.1910990740676,178,185,183,30,7,NA,NA,Matt,Gay,LVR,K,32,1,400.5,29.47,2.33,287.72,ADP.tsv,NA,25.1400,ADP.tsv,NA,NA,0,NA,2977,287.72,235,358,78
